feature,importance
lag_return_1,0.17163300681272828
lag_return_5,0.12216903788276053
mom_30d,0.11572747332804625
mean_reversion_5d,0.10789201741144996
vol_30d,0.09344636062702619
vol_90d,0.08582054224461233
mom_90d,0.07903298870235609
lag_return_21,0.07892461196162207
zscore_30d,0.07119685142458562
drawdown,0.06013658736226276
Ticker_TSLA,0.00831780701191654
Ticker_NVDA,0.0026290018649729446
Ticker_META,0.0013191298029757333
Ticker_MSFT,0.0007432067323343279
Ticker_AMZN,0.0004271075053805774
Ticker_VWRL.L,0.0002641434362805739
Ticker_AAPL,0.00022782263056924913
Ticker_GOOGL,5.067962756868127e-05
Ticker_VUSA.L,4.162363055140606e-05
